"id_final","name_final","elevation","z_max","z_mean","area_Ha","DV","form_DV","V","source","lon","lat"
"LID 50373","Kanono",43.764999389648,15.505,7.43312225218613,74.2196,1.43820488594378,"Convex",5516833.60308354,"LERNZmp",174.142729149568,-36.3624977787647
"LID 50401","Humuhumu",45.415000915527,15.155,6.40164478602593,129.114,1.26723420376627,"Convex",8265419.64902952,"LERNZmp",174.129295674788,-36.3275867846815
"LID 50403","Rotootuauru (Lake Swan)",24.135000228882,7.225,2.18032527130478,33.6576,0.905325372168077,"Convex",733845.158514679,"LERNZmp",173.195894467747,-35.0593379465554
"LID 50413","Rotokawau [Pouto]",53.075000762939,12.895,4.42374114298138,28.5808,1.02917591538923,"Convex",1264340.60859322,"LERNZmp",174.147298404527,-36.3470443493009
"LID 50782",NA,7,1.6,NA,3432.41499875148,NA,NA,NA,"LERNZmp",175.199289287884,-37.4411916566325
"LID 52566","Te Anau",204,417,136.304997675384,35419,0.980611494067511,"Convex",48277867126.6443,"LERNZmp",167.724195121059,-45.181672040857
"LID 53338",NA,640.591064453125,40,NA,163.325717824429,NA,NA,NA,"LERNZmp",168.174043159503,-45.3025587040356
"LID 53353","North Mavora Lake",615,81.17,44.543209371298,1065.1052,1.64629331173948,"Concave",474432039.260582,"LERNZmp",168.168683944038,-45.226043657111
"LID 53532","Wakatipu",308,380,219.408365038678,29238.1128,1.73217130293693,"Concave",64150865262.6444,"LERNZmp",168.516374300668,-45.0885802357658
"LID 53707",NA,469.975433349609,27,NA,24.5527833108733,NA,NA,NA,"LERNZmp",168.732304342612,-45.0034468089717
"LID 53851",NA,506.162872314453,84.3,NA,272.267213116692,NA,NA,NA,"LERNZmp",168.091359450821,-44.87520599818
"LID 54132","Diamond Lake",338,24.61,14.5164742659741,182.924,1.769582397315,"Concave",26554115.3862904,"LERNZmp",168.374939709249,-44.739930029915
"LID 54190",NA,336.724884033203,33.3,NA,270.997180519638,NA,NA,NA,"LERNZmp",168.808482282444,-44.9811052948055
